year,total_unemployment,male_unemployment,female_unemployment,youth_unemployment
1991,15.935,15.519,17.374,30.375
1992,15.598,15.165,17.062,30.073
1993,15.948,15.522,17.373,30.691
1994,16.006,15.578,17.421,30.879
1995,16.348,15.926,17.721,31.755
1996,16.061,15.625,17.46,31.684
1997,15.94,15.494,17.345,31.869
1998,15.473,15.026,16.87,31.294
1999,15.21,14.767,16.579,31.024
2000,14.94,14.557,16.108,30.729
2001,14.4,14.014,15.565,29.889
2002,14.55,14.15,15.741,30.395
2003,14.51,13.933,16.207,30.664
2004,14.23,13.512,16.314,30.533
2005,12.872,12.07,15.173,28.103
2006,12.51,11.554,15.159,27.913
2007,12.365,11.35,15.173,28.143
2008,12.444,11.163,15.957,28.66
2009,13.29,11.296,18.814,31.153
2010,13.049,10.916,18.987,29.573
2011,18.334,15.079,27.443,42.639
2012,17.63,14.673,25.673,38.444
2013,15.934,13.293,23.056,34.828
2014,14.259,11.488,21.57,36.912
2015,15.159,12.415,22.236,34.967
2016,15.557,12.399,23.501,35.119
2017,15.33,12.412,22.676,35.315
2018,15.459,12.508,22.773,34.877
2019,17.153,13.825,25.276,37.867
2020,17.651,14.739,24.607,41.242
2021,16.632,14.156,22.357,39.309
2022,15.3,13.184,20.155,37.826
2023,15.106,12.82,20.453,38.484
2024,15.341,13.037,20.72,38.85
2025,15.108,12.834,20.415,38.075
